artist_hotttnesss,artist_id,artist_name,duration,familiarity,latitude,location,longitude,loudness,similar,song_hotttnesss,song_id,tempo,terms,title,year
0.401997543,ARD7TVE1187B99BFB1,Casual,218.93179,0.581793766,37.15735675013362,California - LA,-63.93335786851952,-11.197,ARV4KO21187FB38008,0.60211999,SOMZWCG12A8C13C480,92.198,hip hop,I Didn't Mean To,0
0.417499645,ARMJAGH1187FB546F3,The Box Tops,148.03546,0.630630038,35.14968,"Memphis, TN",-90.04892,-9.843,ARSZWK21187B9B26D7,,SOCIWDW12A8C13D406,121.274,blue-eyed soul,Soul Deep,1969
0.343428378,ARKRRTF1187B9984DA,Sonora Santanera,177.47546,0.487356791,37.15735675013362,Not available,-63.93335786851952,-9.689,ARFSJUG11C8A421AAD,,SOXVLOJ12AB0189215,100.07,salsa,Amor De Cabaret,0
0.4542311570000001,AR7G5I41187FB4CE6C,Adam Ant,233.40363,0.630382334,37.15735675013362,"London, England",-63.93335786851952,-9.013,AR4R0741187FB39AF2,,SONHOTT12A8C13493C,119.293,pop rock,Something Girls,1982
0.401723686,ARXR32B1187FB57099,Gob,209.60608,0.651045661,37.15735675013362,Not available,-63.93335786851952,-4.501,ARUA62A1187B99D9B0,0.604500739,SOFSOCN12A8C143F5D,129.738,pop punk,Face the Ashes,2007
0.385470551,ARKFYS91187B98E58F,Jeff And Sheri Easter,267.7024,0.535292736,37.15735675013362,Not available,-63.93335786851952,-9.323,ARHNMEZ11F50C4706C,,SOYMRWW12A6D4FAB14,147.782,southern gospel,The Moon And I (Ordinary Day Album Version),0
0.261941177,ARD0S291187B9B7BF5,Rated R,114.78159,0.556495602,37.15735675013362,Ohio,-63.93335786851952,-17.302,ARF93II1187B99F981,,SOMJBYD12A6D4F8557,111.787,breakbeat,Keepin It Real (Skit),0
0.6055071360000001,AR10USD1187B99F3F1,Tweeterfriendly Music,189.57016,0.8011364470000001,37.15735675013362,"Burlington, Ontario, Canada",-63.93335786851952,-11.642,ARJXL4Z1187B9A5920,,SOHKNRJ12A6701D1F8,101.43,post-hardcore,Drop of Rain,0
0.332275747,AR8ZCNI1187B9A069B,Planet P Project,269.81832,0.426667857,37.15735675013362,Not available,-63.93335786851952,-13.496,ARWVP631187FB4D016,0.265861049,SOIAZJW12AB01853F1,86.64299999999999,new wave,Pink World,1984
0.422705641,ARNTLGG11E2835DDB9,Clp,266.39628,0.5505136979999999,37.15735675013362,Not available,-63.93335786851952,-6.697,ARAR1XA11C8A415BE5,,SOUDSGM12AC9618304,114.041,breakcore,Insatiable (Instrumental Version),0
0.296268954,ARGSJW91187B9B1D6B,JennyAnyKind,218.77506,0.36003116700000004,35.21962,North Carolina,-80.01955,-10.021,AR9AM2N1187B9AD2F1,0.0,SOQHXMF12AB0182363,146.765,alternative rock,Young Boy Blues,0
0.351555861,ARC43071187B990240,Wayne Watson,245.21098,0.545159296,37.15735675013362,"Wisner, LA",-63.93335786851952,-7.545,ARKNAD81187B98F8C9,0.265861049,SOKEJEJ12A8C13E0D0,117.975,ccm,The Urgency (LP Version),0
0.37948217,ARL7K851187B99ACD2,Andy Andy,226.35057,0.577508974,37.15735675013362,Not available,-63.93335786851952,-6.6320000000000014,ARATQJ61187B9B97E3,0.0,SOMUYGI12AB0188633,130.04,bachata,La Culpa,0
0.251936525,ARHHO3O1187B989413,Bob Azzam,191.84281,0.085512047,37.15735675013362,Not available,-63.93335786851952,-7.75,AR3QRJ91187B98E4C2,0.0,SORAMLE12AB017C8B0,137.334,chanson,Auguri Cha Cha,0
0.553071992,ARIK43K1187B9AE54C,Lionel Richie,307.3824,0.7766758559999999,37.15735675013362,"Beverly Hills, CA",-63.93335786851952,-8.346,ARVP1TO1187B9A4A7A,,SOBONFF12A6D4F84D8,125.197,quiet storm,Tonight Will Be Alright,1986
0.447935481,ARD842G1187B997376,Blue Rodeo,491.12771,0.636423645,43.64856,"Toronto, Ontario, Canada",-79.38533000000002,-8.576,ARGCEMX1187B9921A4,0.405115722,SOHUOAP12A8AE488E9,119.826,country rock,Floating,1987
0.330806357,ARIG6O41187B988BDD,Richard Souther,228.5971,0.419943148,37.16793,United States,-95.84502,-16.11,AR6UR8S1187B9B928F,0.334706549,SOUQQEA12A8C134B1B,127.756,chill-out,High Tide,0
0.306676094,AR1ZHYZ1187FB3C717,Faiz Ali Faiz,599.24853,0.363280571,37.15735675013362,Not available,-63.93335786851952,-8.032,ARACE911187B999DB5,,SOILPQQ12AB017E82A,99.273,qawwali,Sohna Nee Sohna Data,0
0.51346329,ARYKCQI1187FB3B18F,Tesla,290.2983200000001,0.7071997640000001,37.15735675013362,Not available,-63.93335786851952,-5.271,ARO353H1187B9A43E9,0.6841361909999999,SOXLBJT12A8C140925,150.062,hard rock,Caught In A Dream,2004
0.0,ARNPAGP1241B9C7FD4,lextrical,165.69423999999995,0.32031437,37.15735675013362,Not available,-63.93335786851952,-6.787000000000001,ARDKYXY11E2835EB51,0.0,SOZVMJI12AB01808AF,138.33100000000002,indietronica,Synthetic Dream,0
0.291539727,ARQGYP71187FB44566,Jimmy Wakely,151.84933999999996,0.39413854,34.31109,"Mineola, AR",-94.02978,-15.220999999999998,ARFYPFB1187FB3D65C,,SOWTBJW12AC468AC6E,86.186,classic country,Broken-Down Merry-Go-Round,0
0.328553015,ARI3BMM1187FB4255E,Alice Stuart,220.78649,0.489816269,38.8991,Washington,-77.029,-8.514,AR0MN9F1187B9A9F71,0.0,SOBEBDG12A58A76D60,110.382,electric blues,Kassie Jones,0
0.378254686,AR5KOSW1187FB35FF4,Elena,269.58322000000004,0.677420465,49.80388,Dubai UAE,15.47491,-8.05,ARDFZRH1269FCD3ADD,0.313562114,SOZCTXZ12AB0182364,111.874,uk garage,Setanta matins,0
0.5418889720000001,ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,207.77751,0.8399627679999999,40.82624000000001,"Morris Plains, NJ",-74.47995,-4.2639999999999985,ARNUJQM1187FB3EE72,0.666527846,SOBBUGU12A8C13E95D,166.862,math-core,Setting Fire to Sleeping Giants,2004
